"ordem","MICRO_","AI","cluster","cluster_nome","h_1","h_2","h_3","h_4"
65,"SANTOS_DUMONT",86.94,1,"Alta adequação",1,0,0,0
66,"BOM_DESPACHO",88.11,1,"Alta adequação",1,0,0,0
67,"CORONEL_FABRICIANO",88.23,1,"Alta adequação",1,0,0,0
68,"LEOPOLDINA_CATAGUASES",89.65,1,"Alta adequação",1,0,0,0
69,"ITAUNA",89.75,1,"Alta adequação",1,0,0,0
70,"JUIZ_DE_FORA_LIMA_DUARTE_BOM_JARDIM_DE_MINAS",90.69,1,"Alta adequação",1,0,0,0
71,"UBERLANDIA_ARAGUARI",91.94,1,"Alta adequação",1,0,0,0
72,"TRES_PONTAS",92.2,1,"Alta adequação",1,0,0,0
73,"IPATINGA",92.73,1,"Alta adequação",1,0,0,0
74,"BELO_HORIZONTE_NOVA_LIMA_CAETE",98.61,1,"Alta adequação",1,0,0,0
75,"CONTAGEM",100,1,"Alta adequação",1,0,0,0
